City_ID,WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
16,16,Port Alfred,-33.5906,26.891,73.99,79,29,5.99,ZA,2021-02-07 07:20:47
26,26,Cape Town,-33.9258,18.4232,73.0,60,75,21.85,ZA,2021-02-07 07:16:35
34,34,Hilo,19.7297,-155.09,69.8,73,90,4.61,US,2021-02-07 07:20:50
37,37,Airai,-8.9266,125.4092,68.79,98,100,3.27,TL,2021-02-07 07:20:50
42,42,Bredasdorp,-34.5322,20.0403,68.0,73,100,5.75,ZA,2021-02-07 07:20:51
46,46,Igurubi,-4.0,33.7,70.75,82,100,7.81,TZ,2021-02-07 07:20:52
52,52,Hisua,24.8333,85.4167,71.6,46,0,6.91,IN,2021-02-07 07:20:53
66,66,Kaeo,-35.1,173.7833,66.99,69,28,5.01,NZ,2021-02-07 07:20:55
67,67,Port Elizabeth,-33.918,25.5701,73.4,68,40,17.27,ZA,2021-02-07 07:20:55
68,68,Arraial Do Cabo,-22.9661,-42.0278,71.8,77,100,6.31,BR,2021-02-07 07:20:55
76,76,Camana,-16.6228,-72.7111,70.57,80,57,5.93,PE,2021-02-07 07:20:56
83,83,Hirara,24.8,125.2833,73.4,73,75,11.5,JP,2021-02-07 07:20:28
100,100,Namibe,-15.1961,12.1522,68.0,83,75,6.76,AO,2021-02-07 07:21:00
115,115,Pokhara,28.2333,83.9833,69.37,26,0,7.11,NP,2021-02-07 07:18:07
117,117,Saldanha,-33.0117,17.9442,71.6,64,95,14.97,ZA,2021-02-07 07:21:02
125,125,Launceston,-41.45,147.1667,72.0,35,0,13.8,AU,2021-02-07 07:16:43
132,132,Port Lincoln,-34.7333,135.8667,65.07,65,10,14.23,AU,2021-02-07 07:21:05
133,133,Talara,-4.5772,-81.2719,74.97,74,100,11.12,PE,2021-02-07 07:21:06
134,134,Joshimath,30.5667,79.5667,66.49,21,0,2.48,IN,2021-02-07 07:21:06
136,136,Uchiza,-8.4592,-76.4633,69.89,80,100,1.57,PE,2021-02-07 07:21:06
149,149,Menongue,-14.6585,17.691,67.55,87,100,6.46,AO,2021-02-07 07:21:08
152,152,Cidreira,-30.1811,-50.2056,66.25,78,0,10.69,BR,2021-02-07 07:21:09
153,153,Vila Velha,-20.3297,-40.2925,70.0,94,90,8.05,BR,2021-02-07 07:21:09
157,157,Pisco,-13.7,-76.2167,71.6,83,100,1.36,PE,2021-02-07 07:21:10
159,159,Rucheng,32.3883,120.5553,66.0,54,3,1.45,CN,2021-02-07 07:21:10
163,163,Baillif,16.0202,-61.7463,69.8,88,40,2.3,GP,2021-02-07 07:21:10
167,167,Muriwai Beach,-36.8167,174.45,69.01,70,100,8.21,NZ,2021-02-07 07:21:11
176,176,El Tigre,8.8875,-64.2454,72.52,79,100,13.35,VE,2021-02-07 07:21:13
180,180,Mataura,-46.1927,168.8643,70.27,66,0,3.56,NZ,2021-02-07 07:21:13
190,190,Hermanus,-34.4187,19.2345,68.0,84,95,10.96,ZA,2021-02-07 07:21:14
198,198,Aliwal North,-30.6937,26.7114,71.02,53,0,3.31,ZA,2021-02-07 07:21:15
213,213,Chimbote,-9.0853,-78.5783,70.05,74,100,5.35,PE,2021-02-07 07:21:18
