WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,78.8,94,75,10.36,TO,2021-02-07 09:31:32
1,Nishihara,26.1842,127.7558,66.2,52,20,8.05,JP,2021-02-07 09:35:01
2,Rikitea,-23.1203,-134.9692,77.11,74,49,11.3,PF,2021-02-07 09:31:23
3,Ushuaia,-54.8,-68.3,44.6,76,40,9.22,AR,2021-02-07 09:30:10
4,Hermanus,-34.4187,19.2345,69.01,81,99,3.0,ZA,2021-02-07 09:31:28
5,Mount Isa,-20.7333,139.5,82.4,74,100,9.22,AU,2021-02-07 09:32:03
6,Antalaha,-14.9003,50.2788,84.94,63,47,7.4,MG,2021-02-07 09:35:01
7,Honiara,-9.4333,159.95,78.78,82,100,6.44,SB,2021-02-07 09:34:15
8,West Wendover,40.7391,-114.0733,48.2,20,1,12.66,US,2021-02-07 09:32:09
9,Yantal,56.8471,105.2542,22.15,95,100,10.11,RU,2021-02-07 09:35:02
10,Punta Arenas,-53.15,-70.9167,42.8,87,0,5.75,CL,2021-02-07 09:31:31
11,Kapaa,22.0752,-159.319,62.6,77,90,8.05,US,2021-02-07 09:31:23
12,Taksimo,56.3444,114.8794,-8.07,85,100,1.23,RU,2021-02-07 09:35:02
13,Mlonggo,-6.5333,110.7,80.6,89,75,9.22,ID,2021-02-07 09:35:02
14,Asau,46.4333,26.4,28.99,74,98,4.52,RO,2021-02-07 09:31:48
15,Methoni,36.8197,21.7049,62.6,67,20,11.48,GR,2021-02-07 09:35:02
16,Clyde River,70.4692,-68.5914,-4.0,92,90,2.3,CA,2021-02-07 09:31:24
17,Cape Town,-33.9258,18.4232,73.4,53,20,21.85,ZA,2021-02-07 09:30:16
18,Goderich,43.7501,-81.7165,19.4,79,100,13.8,CA,2021-02-07 09:32:06
19,Fare,-16.7,-151.0167,81.77,76,15,12.88,PF,2021-02-07 09:35:03
20,Busselton,-33.65,115.3333,62.01,93,100,3.0,AU,2021-02-07 09:31:25
21,Leningradskiy,69.3833,178.4167,-11.61,72,11,4.72,RU,2021-02-07 09:31:46
22,Bluff,-46.6,168.3333,57.06,89,88,6.6,NZ,2021-02-07 09:31:25
23,Mataura,-46.1927,168.8643,56.1,92,58,2.59,NZ,2021-02-07 09:31:23
24,Puerto Ayora,-0.7393,-90.3518,75.99,96,43,1.99,EC,2021-02-07 09:31:37
25,Albany,42.6001,-73.9662,19.0,55,100,0.87,US,2021-02-07 09:31:23
26,Bethel,41.3712,-73.414,28.0,79,1,3.42,US,2021-02-07 09:31:29
27,Brooks,50.5834,-111.8851,-13.0,84,100,5.75,CA,2021-02-07 09:35:04
28,Teya,60.3778,92.6267,32.38,95,100,7.92,RU,2021-02-07 09:35:05
29,Araucaria,-25.5931,-49.4103,61.0,100,75,4.61,BR,2021-02-07 09:34:49
30,Dubrovka,53.6907,33.5071,6.8,72,20,11.18,RU,2021-02-07 09:35:05
31,Enumclaw,47.2043,-121.9915,44.01,80,100,11.01,US,2021-02-07 09:35:05
32,Hobart,-42.8794,147.3294,59.0,47,20,16.11,AU,2021-02-07 09:29:16
33,Oriximina,-1.7656,-55.8661,74.86,91,100,1.97,BR,2021-02-07 09:32:00
34,Carnarvon,-24.8667,113.6333,86.0,100,40,11.5,AU,2021-02-07 09:31:58
35,Radchenko,56.6803,36.3718,8.98,93,98,11.14,RU,2021-02-07 09:35:06
